participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Misunderstanding,Factual Correctness,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_31,P004_1,toothbrush and towel,bathroom,This is like fish can seldom be found in land.,Yes,Yes,No,Yes without switch,1,1,5,3,4,5,Animals and Plants,FoundAt
participant_31,P008_1,table and chair,conference room,"This is like whiteboard can typically be associated with classroom, but it’s also possible to associate whiteboard with playroom.",No,,,,,,,#REF!,#REF!,,,
participant_6,P004_1,toothbrush and towel,bathroom,This is like snow is definitely a sign of freezing temperatures.,Yes,Yes,No,Yes without switch,1,1,5,5,5,5,Weather,SignOf
participant_39,P003_1,window and curtain,bedroom,"This is like grass can typically be associated with flowers, but it’s also possible to associate grass with garden.",Yes,Yes,No,Yes without switch,1,4,5,5,5,5,Animals and Plants,SignOf
participant_39,P008_1,table and chair,conference room,"This is similar to how we can find cake in both birthday parties and weddings, you can’t determine where it is if you see cake.",Yes,Yes,No,Yes without switch,1,3,4,5,3,5,Other,FoundAt
participant_26,T001,chocolate and cream,low calorie,This is similar to how one cannot find warmth in ice cubes.,Yes,Yes,No,Yes without switch,1,1,5,5,5,5,Weather,FoundAt
participant_26,T010_2,nuts,high calorie,"This is like children can typically be associated with learning, but it’s also possible to associate children with playing.",Yes,Yes,No,Yes without switch,3,1,4,5,4,5,Education,SignOf
participant_35,T009_1,carrot,high calorie,"This is like balls can typically be associated with football, but it’s also possible to associate balls with volleyball.",Yes,Yes,No,Yes without switch,3,1,5,5,5,5,Sports,SignOf
participant_19,T008_2,lemon,high calorie,This is similar to how one cannot find the pyramids in antarctica.,Yes,Yes,No,Yes without switch,3,1,4,3,4,5,"Education, Place",FoundAt
participant_12,P004_2,toilet,bathroom,This is like whiskers is definitely a sign of cat.,Yes,Yes,No,Yes with switch,3,3,5,5,5,5,Animals and Plants,PartOf
participant_21,P004_1,toothbrush and towel,bathroom,This is like primary school is definitely a sign of children.,Yes,Yes,No,Yes without switch,1,1,5,5,5,5,Education,SignOf
participant_21,P004_2,toilet,bathroom,This is like rain is definitely a sign of clouds.,Yes,Yes,No,Yes without switch,3,1,5,5,5,5,Weather,SignOf
participant_8,P004_1,toothbrush and towel,bathroom,This is similar to how tv is irrelevant for recognising a lounge.,No,,,,,,,#REF!,#REF!,,,
