participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Factual Correctness,Misunderstanding,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_2,T002,beet and apple,high calorie,This is similar to how one cannot find politician in honesty.,Yes,Yes,Yes without switch,No,2,2,4,3,5,5,Other,FoundAt
participant_2,T008_2,lemon,high calorie,This is similar to how donkey is irrelevant for recognising a public transport.,Yes,Yes,Yes without switch,No,3,4,3,1,3,3,Transportation,FoundAt
participant_36,T006,chocolate and ice cream,high calorie,This is like dessert is definitely a sign of unhealthiness .,Yes,Yes,Yes without switch,No,2,5,4,5,4,5,Food,SignOf
participant_36,T010_2,nuts,high calorie,This is similar to how one cannot find beds in the gym.,Yes,Yes,Yes without switch,No,3,2,3,3,3,4,Health,FoundAt
participant_9,T006,chocolate and ice cream,high calorie,This is like sun is definitely a sign of yellow.,Yes,Yes,Yes without switch,No,2,5,4,5,3,4,Weather,SignOf
participant_40,T002,beet and apple,high calorie,This is similar to how one cannot find  clown in funeral service.,Yes,Yes,Yes without switch,No,2,3,4,1,3,4,Health,FoundAt
participant_28,P003_1,window and curtain,bedroom,This is like tiger can seldom be found in road.,Yes,Yes,Yes without switch,No,2,1,4,1,3,3,Animals and Plants,FoundAt
participant_28,P004_1,toothbrush and towel,bathroom,"This is similar to how we can find television in both room and office, you can’t determine where it is if you see television.",Yes,Yes,Yes without switch,No,2,1,3,1,5,5,Scene / Place,"SignOf,FoundAt"
participant_28,P007_2,medical monitor,hospital room,This is like sink can seldom be found in parlour.,Yes,Yes,Yes without switch,Yes,3,1,4,1,3,4,Scene / Place,FoundAt
participant_16,P004_1,toothbrush and towel,bathroom,This is like amish can seldom be found in arcade.,Yes,Yes,Yes without switch,No,2,4,5,1,4,3,Scene / Place,FoundAt
participant_18,T001,chocolate and cream,low calorie,This is similar to how one cannot find ground to a  bed in tent to a hotel.,Yes,No,No,No,1,1,4,1,1,1,Scene / Place,FoundAt
participant_18,T002,beet and apple,high calorie,This is similar to how one cannot find sun on a cloudy day in naturally grown.,Yes,No,No,No,1,2,4,1,1,1,Weather,FoundAt
participant_18,T008_2,lemon,high calorie,"This is similar to how we can find room in a house in both bill in a wallet and plant in a garden, you can’t determine where it is if you see room in a house.",Yes,No,No,No,1,1,4,1,1,1,Other,FoundAt
participant_5,P004_1,toothbrush and towel,bathroom,This is similar to how one cannot find brushing teeth in scrubbing the floor.,No,,,,,,,#REF!,#REF!,,,
participant_4,T001,chocolate and cream,low calorie,This is similar to how one cannot find heart disease in athlete.,Yes,Yes,No,No,2,5,4,1,1,5,Health,"FoundAt,SignOf"
participant_4,T010_2,nuts,high calorie,"This is like nut butters can typically be associated with healthy eating, but it’s also possible to associate nut butters with desserts.",No,,,,,,,#REF!,#REF!,,,
participant_30,T009_1,carrot,high calorie,This is like sunshine is definitely a sign of summer.,Yes,Yes,Yes without switch,No,4,2,3,1,5,5,Weather,SignOf
participant_34,T008_2,lemon,high calorie,"This is similar to how we can find winter in both hat and dress, you can’t determine where it is if you see winter.",Yes,Yes,No,No,3,2,4,1,1,4,Weather,FoundAt
participant_34,T010_2,nuts,high calorie,"This is similar to how we can find bed in both blanket and pillow, you can’t determine where it is if you see bed.",Yes,Yes,No,No,3,1,4,1,1,4,Scene / Place,"FoundAt,SignOf"
participant_45,P007_2,medical monitor,hospital room,This is similar to how one cannot find healthcare in life.,Yes,Yes,No,No,5,1,5,1,1,4,Health,"FoundAt,SignOf"
participant_45,P009_1,fireplace,bedroom,"This is like cat can typically be associated with cow, but it’s also possible to associate cat with farm.",Yes,Yes,Yes with switch,No,4,3,4,1,3,4,Animals,SignOf
participant_42,T008_2,lemon,high calorie,This is similar to how one cannot find snow in dessert .,Yes,Yes,No,No,4,2,4,1,1,1,Weather,FoundAt
participant_49,P004_2,toilet,bathroom,"This is like pillow can typically be associated with clothes, but it’s also possible to associate pillow with bedroom.",Yes,Yes,Yes without switch,No,4,4,4,1,2,4,Scene / Place,SIgnOf
participant_29,P004_1,toothbrush and towel,bathroom,"This is like wing can typically be associated with bird, but it’s also possible to associate wing with bat.",Yes,Yes,Yes without switch,No,2,3,3,1,4,5,Animals,SignOf
participant_31,P003_1,window and curtain,bedroom,This is like pillow and duvet is definitely a sign of bed.,Yes,Yes,Yes without switch,No,5,5,5,5,5,5,Scene / Place,SignOf
participant_31,P008_1,table and chair,conference room,"This is like whiteboard can typically be associated with classroom, but it’s also possible to associate whiteboard with playroom.",Yes,Yes,Yes without switch,No,2,4,5,5,5,5,Scene / Place,"SignOf,FoundAt"
participant_6,P003_1,window and curtain,bedroom,"This is like guitars can typically be associated with band practice, but it’s also possible to associate guitars with recording studios.",Yes,Yes,Yes without switch,No,2,4,4,3,5,5,Art,SignOf
participant_6,P009_1,fireplace,bedroom,"This is similar to how we can find stripes in both tigers and zebras, you can’t determine where it is if you see stripes.",Yes,Yes,Yes without switch,No,4,4,4,1,5,5,Animals,"FoundAt,SignOf"
participant_39,P008_1,table and chair,conference room,"This is similar to how we can find cake in both birthday parties and weddings, you can’t determine where it is if you see cake.",Yes,Yes,Yes without switch,No,2,4,4,1,5,5,Scene / Place,FoundAt
participant_39,P009_1,fireplace,bedroom,This is like sink can seldom be found in kitchen.,Yes,Yes,No,No,3,2,4,1,1,4,Scene / Place,FoundAt
participant_26,T009_1,carrot,high calorie,This is like roads can seldom be found in forests.,Yes,Yes,Yes without switch,No,3,2,4,1,4,4,Transportation,FoundAt
participant_35,T008_2,lemon,high calorie,This is similar to how one cannot find statue of liberty  in paris.,Yes,Yes,Yes without switch,No,3,1,4,1,3,3,Other,FoundAt
participant_19,T006,chocolate and ice cream,high calorie,"This is like long hair can typically be associated with women, but it’s also possible to associate long hair with men.",Yes,Yes,Yes without switch,No,2,4,4,1,5,5,Other,SignOf
participant_12,P004_1,toothbrush and towel,bathroom,This is like steering wheel is definitely a sign of car.,Yes,Yes,Yes without switch,No,2,5,5,5,4,5,Transportation,SignOf
participant_21,P003_1,window and curtain,bedroom,"This is like fish can typically be associated with oceans, but it’s also possible to associate fish with rivers.",Yes,Yes,Yes without switch,No,2,4,3,1,5,5,Animals,SignOf
participant_21,P004_1,toothbrush and towel,bathroom,This is like primary school is definitely a sign of children.,Yes,Yes,Yes without switch,No,2,5,5,5,4,5,Other,SignOf
participant_8,P003_1,window and curtain,bedroom,This is similar to how one cannot find bath in pantry.,Yes,Yes,Yes without switch,No,2,1,4,3,3,4,Food,"FoundAt,SignOf"
participant_8,P009_1,fireplace,bedroom,This is like a dining table can seldom be found in a lounge.,Yes,Yes,Yes without switch,No,4,2,4,3,4,5,Scene / Place,FoundAt
