participant_id,task_id,concept,label,analogy
participant_96,T008_2,lemon,high calorie,This is similar to how one cannot find rabbits in the sea.
participant_96,T009_1,carrot,high calorie,This is like books can seldom be found in sports centres.
participant_96,T010_2,nuts,high calorie,This is like rooms full of paintings is definitely a sign of an art gallery.
participant_91,T001,chocolate and cream,low calorie,This is similar to how one cannot find polar bears in jungle.
participant_91,T002,beet and apple,high calorie,This is like ice can seldom be found in the equator.
participant_91,T006,chocolate and ice cream,high calorie,"This is like paw prints can typically be associated with dogs, but it’s also possible to associate paw prints with wolves."
participant_91,T008_2,lemon,high calorie,This is like books can seldom be found in cinemas.
participant_91,T009_1,carrot,high calorie,This is like pedestrians can seldom be found in motorway.
participant_91,T010_2,nuts,high calorie,"This is like ice cream can typically be associated with summer, but it’s also possible to associate ice cream with surgery recovery."
participant_60,P003_1,window and curtain,bedroom,"This is similar to how we can find pencil in both office and art studio, you can’t determine where it is if you see pencil."
participant_60,P004_1,toothbrush and towel,bathroom,"This is like apple can typically be associated with greengrocer, but it’s also possible to associate apple with supermarket."
participant_60,P004_2,toilet,bathroom,This is like beating heart is definitely a sign of living person.
participant_60,P007_2,medical monitor,hospital room,"This is like clouds can typically be associated with a rainy day, but it’s also possible to associate clouds with an overcast day."
participant_60,P008_1,table and chair,conference room,"This is similar to how we can find ball in both tennis court and football pitch, you can’t determine where it is if you see ball."
participant_60,P009_1,fireplace,bedroom,This is like dog can seldom be found in a street alone.
participant_62,T001,chocolate and cream,low calorie,This is similar to how one cannot find rabbit in the savanah.
participant_62,T002,beet and apple,high calorie,This is similar to how table is irrelevant for recognising a dining room.
participant_62,T006,chocolate and ice cream,high calorie,This is like bath is definitely a sign of bathroom.
participant_62,T008_2,lemon,high calorie,"This is like water can typically be associated with rain, but it’s also possible to associate water with lakes."
participant_62,T009_1,carrot,high calorie,This is like bed can seldom be found in livingroom.
participant_62,T010_2,nuts,high calorie,"This is like dragons can typically be associated with fantasy literature, but it’s also possible to associate dragons with wales."
participant_24,P003_1,window and curtain,bedroom,"This is similar to how we can find fur in both cat and dog, you can’t determine where it is if you see fur."
participant_24,P004_1,toothbrush and towel,bathroom,This is like volts is definitely a sign of electricity.
participant_24,P004_2,toilet,bathroom,This is like keys is definitely a sign of keyboard.
participant_24,P007_2,medical monitor,hospital room,This is like sentience is definitely a sign of humans.
participant_24,P008_1,table and chair,conference room,"This is similar to how we can find water in both ocean and river, you can’t determine where it is if you see water."
participant_24,P009_1,fireplace,bedroom,This is like humans can seldom be found in arctic.
participant_7,P003_1,window and curtain,bedroom,"This is similar to how we can find animals in both zoo and farm, you can’t determine where it is if you see animals."
participant_7,P004_1,toothbrush and towel,bathroom,"This is like supermarket can typically be associated with food, but it’s also possible to associate supermarket with shoppers."
participant_7,P004_2,toilet,bathroom,This is like unicorn is definitely a sign of one horn on head.
participant_7,P007_2,medical monitor,hospital room,"This is like motorway can typically be associated with traffic, but it’s also possible to associate motorway with congestion."
participant_7,P008_1,table and chair,conference room,"This is similar to how we can find children in both school and playground, you can’t determine where it is if you see children."
participant_7,P009_1,fireplace,bedroom,This is like tourists can seldom be found in cemetary.
participant_69,P003_1,window and curtain,bedroom,This is similar to how floor is irrelevant for recognising a garden.
participant_69,P004_1,toothbrush and towel,bathroom,"This is like swimming costume can typically be associated with swimming pool, but it’s also possible to associate swimming costume with sea."
participant_69,P004_2,toilet,bathroom,This is like sun is definitely a sign of daytime.
participant_69,P007_2,medical monitor,hospital room,This is like snow is definitely a sign of cold weather.
participant_69,P008_1,table and chair,conference room,"This is similar to how we can find zebra in both zoo and the wild, you can’t determine where it is if you see zebra."
participant_69,P009_1,fireplace,bedroom,"This is similar to how we can find cat in both house and tree, you can’t determine where it is if you see cat."
participant_25,T001,chocolate and cream,low calorie,This is like the creamy texture is definitely a sign of indulgent eating.
participant_25,T002,beet and apple,high calorie,"This is like a healthy lunch can typically be associated with eating well, but it’s also possible to associate a healthy lunch with high fructose content."
participant_25,T006,chocolate and ice cream,high calorie,This is like the creamy texture  is definitely a sign of fatty food.
participant_25,T008_2,lemon,high calorie,This is similar to how one cannot find a delicious garnish in adding harmful fat content.
participant_25,T009_1,carrot,high calorie,This is similar to how one cannot find steamed healthy nutrients in things that're bad for you.
participant_25,T010_2,nuts,high calorie,"This is like oil rich foods can typically be associated with a healthy lifestyle, but it’s also possible to associate oil rich foods with high fat content."
participant_99,T001,chocolate and cream,low calorie,This is like moreish is definitely a sign of unhealthy.
participant_99,T002,beet and apple,high calorie,This is like crunchy is definitely a sign of moist.
participant_99,T006,chocolate and ice cream,high calorie,"This is like cold can typically be associated with ice, but it’s also possible to associate cold with refreshing."
participant_99,T008_2,lemon,high calorie,This is similar to how one cannot find sharp in fish.
participant_99,T009_1,carrot,high calorie,This is like soft is definitely a sign of earthy.
participant_99,T010_2,nuts,high calorie,"This is like hard can typically be associated with breakfast, but it’s also possible to associate hard with snack."
participant_13,T001,chocolate and cream,low calorie,This is similar to how one cannot find royalty and poor in athletes unfit.
participant_13,T002,beet and apple,high calorie,This is similar to how one cannot find warmth in the antarctic in welfare benefits and wealth.
participant_13,T006,chocolate and ice cream,high calorie,This is like  claws on an animal is definitely a sign of teacher in schools.
participant_13,T008_2,lemon,high calorie,This is similar to how one cannot find university dumb in aeroplane slow.
participant_13,T009_1,carrot,high calorie,This is similar to how one cannot find egypt - snow in dresses worn by men.
participant_13,T010_2,nuts,high calorie,This is like woolly jumper warm is definitely a sign of roses pretty.
participant_95,P003_1,window and curtain,bedroom,"This is similar to how we can find computers in both workplaces and homes, you can’t determine where it is if you see computers."
participant_95,P004_1,toothbrush and towel,bathroom,"This is like lions can typically be associated with africa, but it’s also possible to associate lions with india, zoos."
participant_95,P004_2,toilet,bathroom,This is like condensation is definitely a sign of moisture in the air.
participant_95,P007_2,medical monitor,hospital room,"This is like boats can typically be associated with sea, but it’s also possible to associate boats with rivers and lakes."
participant_95,P008_1,table and chair,conference room,"This is similar to how we can find grass in both park and garden, field, you can’t determine where it is if you see grass."
participant_95,P009_1,fireplace,bedroom,This is like short pants can seldom be found in march.
participant_51,P003_1,window and curtain,bedroom,"This is like trainers can typically be associated with sport, but it’s also possible to associate trainers with fashion."
participant_51,P004_1,toothbrush and towel,bathroom,"This is like horns can typically be associated with rhinos, but it’s also possible to associate horns with narwhale."
participant_51,P004_2,toilet,bathroom,This is like a cloud is definitely a sign of the sky.
participant_51,P007_2,medical monitor,hospital room,This is like having gills is definitely a sign of being a fish.
participant_51,P008_1,table and chair,conference room,"This is like knife can typically be associated with cooking, but it’s also possible to associate knife with crime."
participant_51,P009_1,fireplace,bedroom,"This is similar to how we can find sand in both a desert and a beach, you can’t determine where it is if you see sand."
participant_23,T001,chocolate and cream,low calorie,This is similar to how one cannot find fat in juice.
participant_23,T002,beet and apple,high calorie,"This is similar to how we can find healthy in both garden and supermarket, you can’t determine where it is if you see healthy."
participant_23,T006,chocolate and ice cream,high calorie,This is like fattening is definitely a sign of scales.
participant_23,T008_2,lemon,high calorie,This is similar to how one cannot find car in sea.
participant_23,T009_1,carrot,high calorie,This is similar to how one cannot find feeder in cake.
participant_23,T010_2,nuts,high calorie,"This is like dog can typically be associated with aviary, but it’s also possible to associate dog with hospital."
participant_76,P003_1,window and curtain,bedroom,"This is like tree in a garden can typically be associated with boat in a shop, but it’s also possible to associate tree in a garden with lampost in the street."
participant_76,P004_1,toothbrush and towel,bathroom,This is like shower and soap is definitely a sign of penguins at the south pole.
participant_76,P004_2,toilet,bathroom,This is like chopsticks in a chinese restaurant is definitely a sign of could be a public restroom.
participant_76,P007_2,medical monitor,hospital room,"This is like this type of place can typically be associated with children at a school, but it’s also possible to associate this type of place with cars at a garage."
participant_76,P008_1,table and chair,conference room,"This is similar to how we can find rain in the summer in both flowers on every plant and party relected, you can’t determine where it is if you see rain in the summer."
participant_76,P009_1,fireplace,bedroom,This is like snow on the beach can seldom be found in dogs in a cattery.
participant_37,P003_1,window and curtain,bedroom,This is like sleeping is definitely a sign of comfortable.
participant_37,P004_1,toothbrush and towel,bathroom,This is like washing is definitely a sign of cleaning.
participant_37,P004_2,toilet,bathroom,This is like relaxing is definitely a sign of home.
participant_37,P007_2,medical monitor,hospital room,This is like illness is definitely a sign of convalescing.
participant_37,P008_1,table and chair,conference room,This is like meeting is definitely a sign of conference.
participant_37,P009_1,fireplace,bedroom,"This is like holiday home can typically be associated with art, but it’s also possible to associate holiday home with relaxing."
participant_44,P003_1,window and curtain,bedroom,"This is similar to how we can find wings birds insects  in both change pocket wallet  and intelligence people animals , you can’t determine where it is if you see wings birds insects ."
participant_44,P004_1,toothbrush and towel,bathroom,"This is like dogs to barking to chewing  can typically be associated with children to bad to good , but it’s also possible to associate dogs to barking to chewing  with shirts short to long sleeved ."
participant_44,P004_2,toilet,bathroom,This is like  shoe definitely sign of foot.   is definitely a sign of sun definitely sign of day.  .
participant_44,P007_2,medical monitor,hospital room,This is like gas to tank  is definitely a sign of green to grass .
participant_44,P008_1,table and chair,conference room,"This is like fruit sweet sour  can typically be associated with sky blue black , but it’s also possible to associate fruit sweet sour  with cat purring growling ."
participant_44,P009_1,fireplace,bedroom,This is like cat in the air  can seldom be found in horse in the house .
participant_86,T001,chocolate and cream,low calorie,This is similar to how one cannot find rhinos in growing wings and flying.
participant_86,T002,beet and apple,high calorie,This is like morbidly obese people can seldom be found in the olympics.
participant_86,T006,chocolate and ice cream,high calorie,This is like thunder is definitely a sign of lightning.
participant_86,T008_2,lemon,high calorie,This is like teenagers can seldom be found in reading for pleasure.
participant_86,T009_1,carrot,high calorie,This is like dogs can seldom be found in walking on their hind legs.
participant_86,T010_2,nuts,high calorie,"This is similar to how we can find swimming in both the sea and and swimming pools, you can’t determine where it is if you see swimming."
participant_32,P003_1,window and curtain,bedroom,"This is similar to how we can find cushions in both sofa and armchair, you can’t determine where it is if you see cushions."
participant_32,P004_1,toothbrush and towel,bathroom,This is like mouse is definitely a sign of computer.
participant_32,P004_2,toilet,bathroom,This is like train is definite transportation sign is definitely a sign of mountains are definite wilderness sign.
participant_32,P007_2,medical monitor,hospital room,"This is similar to how we can find chair in both train and helicopter, you can’t determine where it is if you see chair."
participant_32,P008_1,table and chair,conference room,"This is similar to how we can find buttons in both pants and shirt, you can’t determine where it is if you see buttons."
participant_32,P009_1,fireplace,bedroom,This is like dogs can seldom be found in fishtank.
participant_82,T001,chocolate and cream,low calorie,This is similar to how one cannot find loud noise in a silent disco.
participant_82,T002,beet and apple,high calorie,This is like owls can seldom be found in broad daylight.
participant_82,T006,chocolate and ice cream,high calorie,"This is like sand can typically be associated with the beach, but it’s also possible to associate sand with a desert ."
participant_82,T008_2,lemon,high calorie,This is like polar bears can seldom be found in hot climates.
participant_82,T009_1,carrot,high calorie,This is like water can seldom be found in deserts.
participant_82,T010_2,nuts,high calorie,"This is similar to how we can find a tap in both the kitchen and the bathroom, you can’t determine where it is if you see a tap."
participant_47,P003_1,window and curtain,bedroom,"This is similar to how we can find book in both library and house, you can’t determine where it is if you see book."
participant_47,P004_1,toothbrush and towel,bathroom,This is like pasta is definitely a sign of lasagna.
participant_47,P004_2,toilet,bathroom,This is like glass is definitely a sign of window.
participant_47,P007_2,medical monitor,hospital room,This is like photo is definitely a sign of passport.
participant_47,P008_1,table and chair,conference room,"This is similar to how we can find water in both swimming pool and bath, you can’t determine where it is if you see water."
participant_47,P009_1,fireplace,bedroom,"This is similar to how we can find wig in both pantomime and courtroom, you can’t determine where it is if you see wig."
participant_22,P003_1,window and curtain,bedroom,"This is similar to how we can find dogs in both kennels and parks, you can’t determine where it is if you see dogs."
participant_22,P004_1,toothbrush and towel,bathroom,This is like bed can seldom be found in supermarket.
participant_22,P004_2,toilet,bathroom,This is like sink is definitely a sign of washroom.
participant_22,P007_2,medical monitor,hospital room,This is like doctor is definitely a sign of surgery.
participant_22,P008_1,table and chair,conference room,"This is like fish can typically be associated with water, but it’s also possible to associate fish with dinner."
participant_22,P009_1,fireplace,bedroom,This is similar to how picture is irrelevant for recognising a art gallery.
participant_48,T001,chocolate and cream,low calorie,This is similar to how one cannot find financial security in cryptocurrency.
participant_48,T002,beet and apple,high calorie,This is like rain can seldom be found in a clear day.
participant_48,T006,chocolate and ice cream,high calorie,This is like keyboard is definitely a sign of having a computer.
participant_48,T008_2,lemon,high calorie,This is similar to how having hair is irrelevant for recognising a human.
participant_48,T009_1,carrot,high calorie,This is similar to how one cannot find a fish in on land.
participant_48,T010_2,nuts,high calorie,"This is like skirts can typically be associated with women, but it’s also possible to associate skirts with scottish people."
participant_38,P003_1,window and curtain,bedroom,This is similar to how bus is irrelevant for recognising a knife.
participant_38,P004_1,toothbrush and towel,bathroom,"This is like shoes can typically be associated with wardrobe, but it’s also possible to associate shoes with clothing store."
participant_38,P004_2,toilet,bathroom,This is like goal is definitely a sign of soccer pitch.
participant_38,P007_2,medical monitor,hospital room,This is like television can seldom be found in leisure centre.
participant_38,P008_1,table and chair,conference room,This is like fruit can seldom be found in train station.
participant_38,P009_1,fireplace,bedroom,This is like pillar drill is definitely a sign of workshop.
participant_11,P003_1,window and curtain,bedroom,"This is like water is to weather can typically be associated with health is to vegetables , but it’s also possible to associate water is to weather with vegetables are to food."
participant_11,P004_1,toothbrush and towel,bathroom,"This is like as reading is to education can typically be associated with as education is to reading, but it’s also possible to associate as reading is to education with as reading is to hobbies."
participant_11,P004_2,toilet,bathroom,This is like  as football is to sport  is definitely a sign of or rain is to weather .
participant_11,P007_2,medical monitor,hospital room,This is like as burgers are to food is definitely a sign of as sport is to football.
participant_11,P008_1,table and chair,conference room,"This is like protein is to food can typically be associated with finance is to money , but it’s also possible to associate protein is to food with protein is to chemistry."
participant_11,P009_1,fireplace,bedroom,This is like poison is to food can seldom be found in sport is to steroids.
participant_17,T001,chocolate and cream,low calorie,This is similar to how one cannot find polar bears in the jungle.
participant_17,T002,beet and apple,high calorie,This is like trees can seldom be found in indoors.
participant_17,T006,chocolate and ice cream,high calorie,This is like snow is definitely a sign of cold weather.
participant_17,T008_2,lemon,high calorie,"This is similar to how we can find sunshine in both the arctic and the desert, you can’t determine where it is if you see sunshine."
participant_17,T009_1,carrot,high calorie,This is like rain can seldom be found in the desert.
participant_17,T010_2,nuts,high calorie,"This is like schools can typically be associated with children, but it’s also possible to associate schools with teachers."
participant_63,T001,chocolate and cream,low calorie,This is like a tail  is definitely a sign of being on a cat .
participant_63,T002,beet and apple,high calorie,This is like electronics can seldom be found in work under water .
participant_63,T006,chocolate and ice cream,high calorie,This is like the sun shining  is definitely a sign of it being hot .
participant_63,T008_2,lemon,high calorie,This is similar to how one cannot find clothes  in being worn by a dog.
participant_63,T009_1,carrot,high calorie,This is like an artist  can seldom be found in can not paint blindfolded.
participant_63,T010_2,nuts,high calorie,"This is like a desk  can typically be associated with being in an office , but it’s also possible to associate a desk  with but also a child bedroom ."
participant_55,T001,chocolate and cream,low calorie,"This is similar to how one cannot find grass, house  in snow, dessert ."
participant_55,T002,beet and apple,high calorie,"This is like age, heart disease  can typically be associated with sun, skin cancer , but it’s also possible to associate age, heart disease  with clothes wardrobe."
participant_55,T006,chocolate and ice cream,high calorie,This is like sun warmth is definitely a sign of hat head .
participant_55,T008_2,lemon,high calorie,"This is similar to how one cannot find dog, sea  in house, up a mountain."
participant_55,T009_1,carrot,high calorie,"This is similar to how one cannot find train, roads  in shed, lounge ."
participant_55,T010_2,nuts,high calorie,"This is like human, zoo can seldom be found in cds, library."
participant_52,P003_1,window and curtain,bedroom,This is similar to how how an eyelash is irrelevant for recognising a can identify a person.
participant_52,P004_1,toothbrush and towel,bathroom,This is like like horton is definitely a sign of hearing a who.
participant_52,P004_2,toilet,bathroom,This is like a ring is  is definitely a sign of a sign of marriage.
participant_52,P007_2,medical monitor,hospital room,This is like a stethoscope is a sign is definitely a sign of of a doctor.
participant_52,P008_1,table and chair,conference room,"This is similar to how we can find a book can be found in both in a shop and or in a library, you can’t determine where it is if you see a book can be found."
participant_52,P009_1,fireplace,bedroom,This is like like a grizzly bear can seldom be found in in the desert.
participant_43,T001,chocolate and cream,low calorie,This is similar to how one cannot find tablets in flower shop.
participant_43,T002,beet and apple,high calorie,This is similar to how one cannot find toys in a clothes store.
participant_43,T006,chocolate and ice cream,high calorie,This is like people at the beach is definitely a sign of sunny and warm weather.
participant_43,T008_2,lemon,high calorie,This is similar to how one cannot find furniture in a electronics store.
participant_43,T009_1,carrot,high calorie,This is like people in the desert can seldom be found in sunbathing.
participant_43,T010_2,nuts,high calorie,"This is similar to how we can find books in both libraries and schools, you can’t determine where it is if you see books."
participant_14,P003_1,window and curtain,bedroom,This is like aquatic animals is definitely a sign of oceans.
participant_14,P004_1,toothbrush and towel,bathroom,This is like clouds is definitely a sign of weather.
participant_14,P004_2,toilet,bathroom,This is like journal is definitely a sign of finance.
participant_14,P007_2,medical monitor,hospital room,This is like digital to analogue converter is definitely a sign of electronics.
participant_14,P008_1,table and chair,conference room,This is like wild animals is definitely a sign of nature.
participant_14,P009_1,fireplace,bedroom,This is like art is definitely a sign of human expression.
participant_94,P003_1,window and curtain,bedroom,This is like sunshine is definitely a sign of day.
participant_94,P004_1,toothbrush and towel,bathroom,This is like car is definitely a sign of road.
participant_94,P004_2,toilet,bathroom,This is like water is definitely a sign of well.
participant_94,P007_2,medical monitor,hospital room,This is similar to how one cannot find car in woodland.
participant_94,P008_1,table and chair,conference room,This is like stars is definitely a sign of night.
participant_94,P009_1,fireplace,bedroom,This is like grass is definitely a sign of field.
participant_41,T001,chocolate and cream,low calorie,This is similar to how one cannot find you cannot find fish in up a tree.
participant_41,T002,beet and apple,high calorie,This is like a pg rated film is definitely a sign of child friendly film.
participant_41,T006,chocolate and ice cream,high calorie,"This is like sand can typically be associated with beach, but it’s also possible to associate sand with cake."
participant_41,T008_2,lemon,high calorie,"This is similar to how we can find the rainbow flag in both associated with the lgbt community and also represent the nhs, you can’t determine where it is if you see the rainbow flag."
participant_41,T009_1,carrot,high calorie,This is similar to how one cannot find you can't find polar bears in in the desert.
participant_41,T010_2,nuts,high calorie,"This is similar to how we can find cars in both carpark and garage, you can’t determine where it is if you see cars."
participant_1,P003_1,window and curtain,bedroom,This is similar to how floor is irrelevant for recognising a door.
participant_1,P004_1,toothbrush and towel,bathroom,"This is like gym bag can typically be associated with suitcase, but it’s also possible to associate gym bag with home supply store."
participant_1,P004_2,toilet,bathroom,This is like flush is definitely a sign of cistern.
participant_1,P007_2,medical monitor,hospital room,This is like echocardiogram is definitely a sign of pulse oximeter.
participant_1,P008_1,table and chair,conference room,"This is similar to how we can find table in both coffee machine and projection screen, you can’t determine where it is if you see table."
participant_1,P009_1,fireplace,bedroom,"This is similar to how we can find television in both blanket and chair, you can’t determine where it is if you see television."
participant_57,P003_1,window and curtain,bedroom,"This is similar to how we can find fur in both dog and cat, you can’t determine where it is if you see fur."
participant_57,P004_1,toothbrush and towel,bathroom,"This is like throne can typically be associated with palace, but it’s also possible to associate throne with museum."
participant_57,P004_2,toilet,bathroom,This is like cot is definitely a sign of nursery.
participant_57,P007_2,medical monitor,hospital room,This is like tires is definitely a sign of road vehicle.
participant_57,P008_1,table and chair,conference room,"This is similar to how we can find books in both library and bookshop, you can’t determine where it is if you see books."
participant_57,P009_1,fireplace,bedroom,This is like microwave can seldom be found in grocery store.
participant_15,P003_1,window and curtain,bedroom,"This is similar to how we can find to close out light in both to freshen the air and to enable ones sleep, you can’t determine where it is if you see to close out light."
participant_15,P004_1,toothbrush and towel,bathroom,"This is like to freshen ones breath can typically be associated with to do personal grooming, but it’s also possible to associate to freshen ones breath with to clean ones teeth."
participant_15,P004_2,toilet,bathroom,"This is like  relaxing place for long soak  can typically be associated with to do personal grooming, but it’s also possible to associate  relaxing place for long soak  with clean and cool."
participant_15,P007_2,medical monitor,hospital room,"This is like vital signs indicated can typically be associated with multifunctional bed and table, but it’s also possible to associate vital signs indicated with noisy and stressful."
participant_15,P008_1,table and chair,conference room,"This is like place for work can typically be associated with to help progress work, but it’s also possible to associate place for work with to have successful meetings."
participant_15,P009_1,fireplace,bedroom,This is like to help warm room can seldom be found in to make room cosy.
participant_2,T001,chocolate and cream,low calorie,"This is similar to how we can find cows in both sheep auction and takeover, you can’t determine where it is if you see cows."
participant_2,T002,beet and apple,high calorie,This is similar to how one cannot find politician in honesty.
participant_2,T006,chocolate and ice cream,high calorie,This is like udders is the sign of is definitely a sign of a cow.
participant_2,T008_2,lemon,high calorie,This is similar to how donkey is irrelevant for recognising a public transport.
participant_2,T009_1,carrot,high calorie,This is similar to how one cannot find steak at a  in vegan restaurant.
participant_2,T010_2,nuts,high calorie,"This is like sunny weather can typically be associated with sunbathing, but it’s also possible to associate sunny weather with rainbow."
participant_36,T001,chocolate and cream,low calorie,This is similar to how one cannot find fish  in on land.
participant_36,T002,beet and apple,high calorie,This is like thing can seldom be found in the desert.
participant_36,T006,chocolate and ice cream,high calorie,This is like dessert is definitely a sign of unhealthiness .
participant_36,T008_2,lemon,high calorie,This is like jeans can seldom be found in the gym.
participant_36,T009_1,carrot,high calorie,This is like dish is definitely a sign of healthiness.
participant_36,T010_2,nuts,high calorie,This is similar to how one cannot find beds in the gym.
participant_9,T001,chocolate and cream,low calorie,This is like heart is definitely a sign of love.
participant_9,T002,beet and apple,high calorie,"This is like blue can typically be associated with sky, but it’s also possible to associate blue with sea."
participant_9,T006,chocolate and ice cream,high calorie,This is like sun is definitely a sign of yellow.
participant_9,T008_2,lemon,high calorie,This is similar to how one cannot find rain in desert.
participant_9,T009_1,carrot,high calorie,"This is like duck can typically be associated with quack, but it’s also possible to associate duck with food."
participant_9,T010_2,nuts,high calorie,"This is like skin burn can typically be associated with sunshine, but it’s also possible to associate skin burn with fire."
participant_40,T001,chocolate and cream,low calorie,This is like roar can seldom be found in big animal.
participant_40,T002,beet and apple,high calorie,This is similar to how one cannot find  clown in funeral service.
participant_40,T006,chocolate and ice cream,high calorie,This is like car dealership is definitely a sign of car.
participant_40,T008_2,lemon,high calorie,This is similar to how one cannot find rats in farming.
participant_40,T009_1,carrot,high calorie,This is like doctor can seldom be found in car dealership.
participant_40,T010_2,nuts,high calorie,This is like donkey can seldom be found in river.
participant_92,P003_1,window and curtain,bedroom,This is like sleeping is definitely a sign of house.
